time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2018-01-01T22:00:00Z,1.20025,1.20238,1.20025,1.201565,1.20025,1.20238,1.20025,1.201565,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-02T02:00:00Z,1.201565,1.20249,1.20076,1.20246,1.201565,1.20249,1.20076,1.20246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-02T06:00:00Z,1.20246,1.2071,1.20225,1.207075,1.20246,1.2071,1.20225,1.207075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-02T10:00:00Z,1.207075,1.20816,1.20563,1.205775,1.207075,1.20816,1.20563,1.205775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-02T14:00:00Z,1.205775,1.20595,1.20264,1.2045,1.205775,1.20595,1.20264,1.2045,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-02T18:00:00Z,1.2045,1.20655,1.20417,1.205805,1.2045,1.20655,1.20417,1.205805,72.57720979765718,NaN,NaN,NaN,NaN,72.57720979765718,NaN
2018-01-02T22:00:00Z,1.205805,1.2066,1.20445,1.20528,1.205805,1.2066,1.20445,1.20528,67.83625730994069,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T02:00:00Z,1.20528,1.20596,1.20418,1.205805,1.20528,1.20596,1.20418,1.205805,70.2642855088715,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T06:00:00Z,1.205805,1.20608,1.20312,1.20383,1.205805,1.20608,1.20312,1.20383,51.8562931441576,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T10:00:00Z,1.20383,1.20408,1.20108,1.203285,1.20383,1.20408,1.20108,1.203285,47.5585558514486,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T14:00:00Z,1.203285,1.203285,1.20033,1.202755,1.203285,1.203285,1.20033,1.202755,43.20574974400625,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T18:00:00Z,1.202755,1.20306,1.2001,1.201405,1.202755,1.20306,1.2001,1.201405,33.45618908539055,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-03T22:00:00Z,1.201405,1.20172,1.20043,1.200785,1.201405,1.20172,1.20043,1.200785,29.619245410196044,NaN,NaN,29.619245410196044,NaN,NaN,NaN
2018-01-04T02:00:00Z,1.200785,1.20231,1.20078,1.20192,1.200785,1.20231,1.20078,1.20192,44.25003429182758,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-04T06:00:00Z,1.20192,1.2046,1.20175,1.20435,1.20192,1.2046,1.20175,1.20435,64.1786224729028,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-04T10:00:00Z,1.20435,1.20753,1.20412,1.206215,1.20435,1.20753,1.20412,1.206215,73.32609484156991,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-04T14:00:00Z,1.206215,1.20891,1.206,1.207475,1.206215,1.20891,1.206,1.207475,78.05800649538637,NaN,NaN,NaN,NaN,78.05800649538637,NaN
2018-01-04T18:00:00Z,1.207475,1.20804,1.2061,1.206825,1.207475,1.20804,1.2061,1.206825,70.04525671727198,NaN,NaN,NaN,NaN,NaN,NaN
